0101_002	monica	there 's nothing to tell he 's just some guy i work with
0101_003	joey	c 'mon , you 're going out with the guy there 's gotta be something wrong with him
0101_004	chandler	all right joey , be nice . so does he have a hump ? a hump and a hairpiece ?
0101_005	phoebe	wait , does he eat chalk ?

0101_007	phoebe	just , cause , i don 't want her to go through what i went through with carl- oh
0101_008	monica	okay , everybody relax . this is not even a date . it 's just two people going out to dinner and- not having sex .
0101_009	chandler	sounds like a date to me .

0101_011	chandler	alright , so i 'm back in high school , i 'm standing in the middle of the cafeteria , and i realize i am totally naked .
0101_012	all	oh , yeah . had that dream .
0101_013	chandler	then i look down , and i realize there 's a phone there .
0101_014	joey	instead of ?
0101_015	chandler	that 's right .
0101_016	joey	never had that dream .
0101_017	phoebe	no .
0101_018	chandler	all of a sudden , the phone starts to ring . now i don 't know what to do , everybody starts looking at me .
0101_019	monica	and they weren 't looking at you before ?
0101_020	chandler	finally , i figure i 'd better answer it , a nd it turns out it 's my mother , which is very-very weird , because- she never calls me

0101_022	ross	hi .
0101_023	joey	this guy says hello , i wanna kill myself .
0101_024	monica	are you okay , sweetie ?
0101_025	ross	i just feel like someone reached down my throat , grabbed my small intestine , pulled it out of my mouth and tied it around my neck
0101_026	chandler	cookie ?
0101_027	monica	carol moved her stuff out today .
0101_028	joey	ohh .
0101_029	monica	let me get you some coffee .
0101_030	ross	thanks .
0101_031	phoebe	ooh oh
0101_032	ross	no , no don 't stop cleansing my aura no , just leave my aura alone , okay ?
0101_033	phoebe	fine be murky
0101_034	ross	i 'll be fine , alright ? really , everyone . i hope she 'll be very happy .
0101_035	monica	no you don 't .
0101_036	ross	no i don 't , to hell with her , she left me
0101_037	joey	and you never knew she was a lesbian
0101_038	ross	no okay ? why does everyone keep fixating on that ? she didn 't know , how should i know ?
0101_039	chandler	sometimes i wish i was a lesbian did i say that out loud ?
0101_040	ross	i told mom and dad last night , they seemed to take it pretty well .
0101_041	monica	oh really , so that hysterical phone call i got from a woman at sobbing 3 00 a.m. , i 'll never have grandchildren , i 'll never have grandchildren . was what ? a wrong number ?
0101_042	ross	sorry .
0101_043	joey	alright ross , look . you 're feeling a lot of pain right now . you 're angry . you 're hurting . can i tell you what the answer is ?

0101_045	joey	strip joint c 'mon , you 're single have some hormones
0101_046	ross	i don 't want to be single , okay ? i just i just- i just wanna be married again

0101_048	chandler	and i just want a million dollars
0101_049	monica	rachel ?
0101_050	rachel	oh god monica hi thank god i just went to your building and you weren 't there and then this guy with a big hammer said you might be here and you are , you are
0101_051	waitress	can i get you some coffee ?
0101_052	monica	de-caff . okay , everybody , this is rachel , another lincoln high survivor . this is everybody , this is chandler , and phoebe , and joey , and- you remember my brother ross ?
0101_053	rachel	hi , sure
0101_054	ross	hi .

0101_056	monica	so you wanna tell us now , or are we waiting for four wet bridesmaids ?
0101_057	rachel	oh god well , it started about a half hour before the wedding . i was in the room where we were keeping all the presents , and i was looking at this gravy boat . this really gorgeous lamauge gravy boat . when all of a sudden- sweet n lo ? i realized that i was more turned on
0101_058	monica	who wasn 't invited to the wedding .
0101_059	rachel	ooh , i was kinda hoping that wouldn 't be an issue
0101_060	monica	now i 'm guessing that he bought her the big pipe organ , and she 's really not happy about it .
0101_061	chandler	tuna or egg salad ? decide
0101_062	ross	i 'll have whatever christine is having .
